table_name,affiliation,type
against,Chief Post Master General,Complainant
against,Chief Public Relations Officer,Complainant
against,Chief Reporter,Complainant
against,Chief Secretary,Complainant
against,"Chief, Deshbandhu",Complainant
against,City Magistrate,Complainant
against,Civil Judge & Judicial Magistrate Collectorate,Complainant
against,"Clerk, Office of Superintendent of Police",Complainant
against,"Co-ordinator, Bajrang Dal",Complainant
against,Commissioner (Family Welfare),Complainant
against,"Commissioner, CGST & Central Excise",Complainant
against,Computer Operator (Outsourcing),Complainant
against,Computer Operator (Outsourcing) Nagar Panchayat,Complainant
against,Consultant Paediatrician,Complainant
against,"Consultant, NFL",Complainant
against,"Convener and Executive Engineer, Underground Water Department",Complainant
against,"Convenor, Senior Activity School",Complainant
against,"Correspondent, Nishpaksh Pratidin",Complainant
against,"Correspondent, Nishpaksh Pratidin",Complainant
against,Correspondent. Deshbandhu,Complainant
against,"Councillor, Municipal Council",Complainant
against,"Councillor, Municipal Council",Complainant
against,Criminal Investigation Department,Complainant
against,Dainik Jagran,Complainant
against,"DDG, ACC, Army Headquarters",Complainant
against,"Deputy Comandant, S.O. to the IGP",Complainant
against,Deputy Director,Complainant
against,Deputy Director,Complainant
against,Deputy Director,Complainant
against,"Deputy Manager, NABARD Financial Services Limited",Complainant
against,Deputy Regional Director,Complainant
against,Deputy Regional Director,Complainant
against,Deputy Regional Director,Complainant
against,Deputy Regional Director,Complainant
against,Deputy Registrar,Complainant
against,"DIG of Police, (AD) (CID)",Complainant
against,"Director , Madhav Institute of Science and Technology",Complainant
against,"Director , Pashimanchal Power Distribution Corporation Ltd.",Complainant
against,Director Central Soil and Water Conservation Research and Training Institute,Complainant
against,Director General,Complainant
against,Director General,Complainant
against,Director of Treasuries,Complainant
against,"Director, Bhartiya Shiksha Parishad",Complainant
against,"Director, Department of Commerce, Ministry of Commerce of Industry, ",Complainant
against,"Director, Ironman Security Services Pvt. Ltd",Complainant
against,"Director, Komil Singh Shanti Devi Degree College",Complainant
against,"Director, NarmadaTrama Center",Complainant
against,"Director, New Muslim Educational Society",Complainant
against,"Director, Regional Medical Research Centre for Tribals",Complainant
against,"Director, Shiv Mandir Girls College",Complainant
against,"Director, Surabhi Property Dealer",Complainant
against,"District Accounts Manager, National Rural Health Mission",Complainant
against,District Basic Education Officer,Complainant
against,District Collector,Complainant
against,District Magistrate,Complainant
against,District Magistrate,Complainant
against,District Magistrate,Complainant
against,District President State Employees Union,Complainant
against,"District President, Bhartiya Janta Party",Complainant
against,"District President, State Employees Union",Complainant
against,"District President, State Employees Union",Complainant
against,"District President, State Employees Union",Complainant
against,"District President, State Employees Union",Complainant
against,"District President, State Employees Union",Complainant
against,"District President, Uttar Pradesh Viswakarma",Complainant
against,"District Programme Manager, National Rural Health Mission",Complainant
against,Div. Railway Manager,Complainant
against,"Dy. Accountant General (Admn.), Indian Audit & Accounts Department",Complainant
against,"Dy. General Manager, Eastern Coal Fields Limited",Complainant
against,"Editor-in-Chief, Sandesh",Complainant
against,"Editor-in-Chief, The Page",Complainant
against,"Editor, Asomiya Pratidin",Complainant
against,"Editor, Dainik Divya Gosh",Complainant
against,Employees Association,Complainant
against,Engineer,Complainant
against,"Etawah (Uttar Pradesh) against the Editor, Amar Ujala",Complainant
against,Ex_MP,Complainant
against,Ex-Chief Minister,Complainant
against,"Ex-Councillor, Sangli Municipal Council",Complainant
against,Ex-MLA,Complainant
against,Ex-MLA and Member of District Executive of BJP,Complainant
against,"Ex-State Minister, Government of Bihar",Complainant
against,Excise Inspector,Complainant
against,Exec. Engineer of Public Work Division,Complainant
against,"Execu-tive Chairman, Indian Rural & Urban Entitlement Centre",Complainant
against,Executive Director,Complainant
against,Executive Engineer Public Works Department,Complainant
against,Executive Magistrate,Complainant
against,Executive officer,Complainant
against,Former City Councillor,Complainant
against,Former City Councillor,Complainant
against,Former DGP (HOPF),Complainant
against,"Former Provincial Spokesman, Akhil Bhartiya Hindu Mahasabha",Complainant
against,"Founder Secretary, Aikya Kerala, Grandhasala & Vayanasala",Complainant
against,G.M.,Complainant
against,G.M. Personnel and H.R.D.,Complainant
against,Gadege Electricals,Complainant
against,General Manager,Complainant
against,"General Manager (Admn. & Corp. Communication), NALCO",Complainant
against,General Manager (UP) Co-operative Federation Ltd,Complainant
against,"General Manager, Bank Note Press",Complainant
against,"General Manager, Corporate Affairs Bharat Hotels Ltd. & the Lalit Hotel",Complainant
against,"General Manager, Lucknow Producers Co-operative Milk Union",Complainant
against,General Secretary,Complainant
against,General Secretary,Complainant
against,General Secretary,Complainant
against,General Secretary,Complainant
against,General Secretary Kalahandi Consumers Welfare Organisation,Complainant
against,"General Secretary, All India Jat Mahasabha",Complainant
against,"General Secretary, Anchalik Beedi Shramik Sangh",Complainant
against,"General Secretary, Dr. B.R. Ambedkar Vichar Manch",Complainant
against,"General Secretary, Rajkot District Consumers Protection Council",Complainant
against,"General Secretary, Samata Party",Complainant
against,"General Secretary, Vindhyachal Urja Mazdoor Union (CITU)",Complainant
against,"Ghaziabad (Uttar Pradesh) against the Editor, ‘Nav Bharat Times’",Complainant
against,"GM-Corporate Communications, Air India Ltd.",Complainant
against,Govt. of Pon-dicherry,Complainant
against,Govt. of U.P,Complainant
against,Govt. of U.P,Complainant
against,"Gwalior, M.P. against the Editor",Complainant
against,H.C.,Complainant
against,H.C.,Complainant
against,Haryana Civil Pensioners Welfare Association.,Complainant
against,Haryana Power Purchase Centre,Complainant
against,Head of Deptt. University of Allahabad,Complainant
against,"Head of the Department of Language, Jagadamba Mahavidyalaya",Complainant
against,"Head T.T.-I, Northern Railway",Complainant
against,"Headmaster, Z.P. High School",Complainant
against,Health Inspector,Complainant
against,Hon. General Secretary,Complainant
against,Hon'ble Chief Minister,Complainant
against,Hon’ble Minister of State for External Affairs,Complainant
against,Hony. Convenor,Complainant
against,I.G,Complainant
against,IAS,Complainant
against,IAS,Complainant
against,IAS,Complainant
against,IAS,Complainant
against,IAS,Complainant
against,IAS,Complainant
against,IAS,Complainant
against,IAS,Complainant
against,IAS,Complainant
against,"IAS, O.S.D. (Exp. Monitoring)",Complainant
against,"IAS, O.S.D. (Exp. Monitoring)",Complainant
against,"IAS, O.S.D. (Exp. Monitoring)",Complainant
against,"IAS, O.S.D. (Exp. Monitoring)",Complainant
against,"IAS, O.S.D. (Exp. Monitoring)",Complainant
against,Indian Institute of Public Administration,Complainant
against,Indian Medical Association,Complainant
against,"Indore against the editor, Dabang Duniya",Complainant
against,"Inspector of Police, Nagpada Police Station",Complainant
against,"Inspector of Schools, Mayurbhanj",Complainant
against,IPS,Complainant
against,IPS,Complainant
against,"IPS, Director, Maulana Abdul Kalam Azad Institute of Asian Studies",Complainant
against,IRS,Complainant
against,"Ist Div. Assistant,Office of the Health & Family Welfare",Complainant
against,J.E.E. Examination,Complainant
against,J.E.E. Examination,Complainant
against,"Jabalpur (Madhya Pradesh) against the Editor, ‘Times of India’",Complainant
against,Janavahini,Complainant
against,"Jhansi (Uttar Pradesh) against the Editor, ‘Dainik Jagran’",Complainant
against,Jharkhand Academic Council (JAC),Complainant
against,Joint Chief Electoral Officer & Joint Secretary to the Govt. of Bihar,Complainant
against,Joint Director,Complainant
against,"Joint Director, Local Fund Audit",Complainant
against,"Joint General Secretary, Vishwahindu Parishad",Complainant
against,Joint Registrar,Complainant
against,"Joint Secretary, All India Mahila Congress (I)",Complainant
against,"Joint Secretary, Home Ministry, Rajbhasha Department",Complainant
against,Journalist,Complainant
against,Journalist and Social Worker,Complainant
against,"Jr. Engineer, M.P. Electricity Board",Complainant
against,"Junior Engineer, District Rural Develop-ment",Complainant
against,Kannada University,Complainant
against,"Kolkata against the Editor, ‘The Statesman’",Complainant
against,Krishi Vidyapeeth,Complainant
against,Kumar Ex-Chief Minister,Complainant
against,Law Global Advocate,Complainant
against,Lec-turer,Complainant
against,"Lecturer, Government Boys Secondary Senior School",Complainant
against,LIC Agent,Complainant
against,lieutenant Colonel Offcier Commanding,Complainant
against,"Lucknow (Uttar Pradesh) against the Editor, Amar Ujala",Complainant
against,M.P.,Complainant
against,M.P.,Complainant
against,M.P. (Lok Sabha),Complainant
against,M/s. Mother Dairy Fruit & Vegetable Pvt. Ltd.,Complainant
against,Machine Tool Aids & Reconditioning,Complainant
against,"Maha Mantri,Sahar Congress Committee",Complainant
against,Mahila Shikshan Sansathan,Complainant
against,Major Command Officer,Complainant
against,"Manager, Arya Kanya Degree College",Complainant
against,"Manager, Jain Junior High School",Complainant
against,"Manager, Sardar Patel Inter-College",Complainant
against,"Manager, Sardar Patel Inter-College",Complainant
against,"Manager, Shah Rajya Pariyojna",Complainant
against,Manager/ Director,Complainant
against,Managing Director Ordnance Equipment Factory,Complainant
against,"Media Incharge, Maa Narmada Uddahan Samiti",Complainant
against,Member All India Majlis-eIttehad-ul Muslimeen,Complainant
against,"Member, Action for the Rights of the Child (ARC)",Complainant
against,"Member, Action for the Rights of the Child (ARC)",Complainant
against,"Member, Central Governing Council, YSR Congress Party,",Complainant
against,"Member, District Panchayat",Complainant
against,"Member, M.P. Waqf Ashikaran",Complainant
against,"Member, National Commission for Protection of Child Rights",Complainant
against,Mineral Area Development Authority,Complainant
against,"Minister of Education, Animal Husbandry & Veterinary & Assam Accord",Complainant
against,"Minister of State Statistic and Programme Implementation, Parliamentary Affairs",Complainant
against,"Minister, Health and Family Welfare",Complainant
against,Ministry I&B,Complainant
against,MLA,Complainant
against,MLA,Complainant
against,MLA,Complainant
against,MLA,Complainant
against,Motor Licensing Officer,Complainant
against,MP(LS),Complainant
against,"Mumbai against the Editor, ‘Mumbai Mirror’",Complainant
against,"Muzaffarnagar (Uttar Prdesh) against the Editor, Amar Ujala",Complainant
against,"National President, Akhil Bhartiya Bhrashtrachar Nirmulan Samiti",Complainant
against,"National President, Akhil Bhartiya Bhrashtrachar Nirmulan Samiti",Complainant
against,"National President, Akhil Bhartiya Bhrashtrachar Nirmulan Samiti",Complainant
against,"National President, Akhil Bhartiya Rashtriya Morcha Party",Complainant
against,"National President, Anti-Corruption Committee",Complainant
against,Nikhil Banga Kalyan Samiti,Complainant
against,"Om Public School,",Complainant
against,"organiser, Tagore Central Academy",Complainant
against,Oriental College of Technology,Complainant
against,"Orthopaedic Surgeon, District Hospital",Complainant
against,OSD to Hon’ble Chief Minister of J&K,Complainant
against,"Partners, AKJK Enterprise",Complainant
against,"Partners, AKJK Enterprise",Complainant
against,PGIMS,Complainant
against,PGIMS,Complainant
against,Photographer,Complainant
against,Photographer,Complainant
against,Police Inspector,Complainant
against,Police sub Inspector,Complainant
against,Popular Front of India,Complainant
against,Popular Front of India,Complainant
against,President,Complainant
against,President,Complainant
against,President,Complainant
against,President Dadar Bar Association,Complainant
against,President JVMGRR College,Complainant
against,President Mahila Shiksha Samiti (Regd.),Complainant
against,President Mahila Shiksha Samiti (Regd.),Complainant
against,President MPCC,Complainant
against,President MPCC,Complainant
against,President MPCC,Complainant
against,President MPCC,Complainant
against,"President, Akhil Bhartiya Marathi Sahitya Sammelan",Complainant
against,"President, BJP",Complainant
against,"President, BJP",Complainant
against,"President, BJP",Complainant
against,"President, BJP",Complainant
against,"President, BJP",Complainant
against,"President, BJP",Complainant
against,"President, BSP",Complainant
against,"President, Gram Vikas Sanstha, Sagar",Complainant
against,"President, Hilly Teachers Employees Union",Complainant
against,"President, Hilly Teachers Employees Union",Complainant
against,"President, Hilly Teachers Employees Union",Complainant
against,"President, Hilly Teachers Employees Union",Complainant
against,"President, Hilly Teachers Employees Union",Complainant
against,"President, IFWJ",Complainant
against,"President, M.P. State Automobile Association",Complainant
against,"President, Matra Shakti Sangathan",Complainant
against,"President, Milli Social Multi Purpose Society (forum)",Complainant
against,"President, Prithak Bastar Rajya Party",Complainant
against,"Pricipal, Senior Activity School",Complainant
against,Princi-pal,Complainant
against,Principal Jialal Institute of Education,Complainant
against,Principal Meerut College,Complainant
against,Principal Northern Railway Zonal Training Centre,Complainant
against,"Principal, G.S. Hindu College",Complainant
against,"Principal, Government Middle School",Complainant
against,"Principal, HRH the Prince of Wales Institute of Engineering and Technology",Complainant
against,"Principal, Nutan Higher Secondary School",Complainant
against,"Principal, P.M.B. Gujarati Commerce College",Complainant
against,"Principal, Swamy Muktanand Vidyalay",Complainant
against,"Principal, Zonal Training Centre, North Railway",Complainant
against,"Prof. & HOD Pediatrics & Medical Superintendent, G.B. Pant Cannt. Gen Hospital,",Complainant
against,"Prof. and Head of the Orthopaedic Department, M.G.M. Medical College and Hospital",Complainant
against,"Project Co-ordinator, Yuvak Pratisthan",Complainant
against,Proprietor,Complainant
against,"Proprietor, B.S. Service Station",Complainant
against,"proprietor, Shankar Namkeen Bhandar",Complainant
against,Public Rela-tions,Complainant
against,Public Rela-tions,Complainant
against,Public Relations Officer,Complainant
against,Public Relations Officer,Complainant
against,Public Relations Officer,Complainant
against,"Public Relations Officer, c/o the Dy. Chairman, Maharashtra Legislative Council,",Complainant
against,Publisher,Complainant
against,Publisher,Complainant
against,"Publisher, Kothrud Times",Complainant
against,"Publisher, Kothrud Times",Complainant
against,"Quality Monitor,  Mid- Day Meal",Complainant
against,R.K.C. Fans Club,Complainant
against,R.K.C. Fans Club,Complainant
against,R.K.C. Fans Club,Complainant
against,R.K.C. Fans Club,Complainant
against,Ragistrar Jawaharlal Nehru Technological University,Complainant
against,Ranchi Regional Development Authority,Complainant
against,Rashtriya Bhrashtachar Unmulan Samiti,Complainant
against,Rashtriya Bhrashtachar Unmulan Samiti,Complainant
against,"Reader, Department of Economics, Motilal Nehru College",Complainant
against,Registrar,Complainant
against,Registrar,Complainant
against,Registrar,Complainant
against,Registrar,Complainant
against,"Registrar, Vishva Bharati",Complainant
against,"Representative, Shiromani Gurudwara Prabhandhak Committee",Complainant
against,"Research Student, Madhav Institute of Science and Technology",Complainant
against,Retd. Chief Pharmacist,Complainant
against,Retd. Chief Pharmacist,Complainant
against,Retd. Chief Pharmacist,Complainant
against,Retd. Chief Pharmacist,Complainant
against,Retd. Chief Pharmacist,Complainant
against,Retd. Chief Pharmacist,Complainant
against,S.D.M.Bhiwani,Complainant
against,"Sagar (Madhya Pradesh) against the Editor, Dainik Bhaskar",Complainant
against,Saraswati Educational So-ciety,Complainant
against,Sarpanch,Complainant
against,Scientist-D ,Complainant
against,Secretary,Complainant
against,Secretary,Complainant
against,Secretary,Complainant
against,Secretary Election Commission of India,Complainant
against,Secretary of Sandesh,Complainant
against,"Secretary, All India Motion Picture Producers Association",Complainant
against,"Secretary, Bihar State Committee Communist Party of India",Complainant
against,"Secretary, ICAI",Complainant
against,"Secretary, ICAI",Complainant
against,"Secretary, Janmandal Foundation",Complainant
against,"Secretary, Krish Upaj Mandi Samiti",Complainant
against,"Secretary, Shri Digambar Jain Panchayati Mandir",Complainant
against,"Secretary, Shribaba Public Shi. S. Senior Secondary School",Complainant
against,"Secretary, Sri Sri Maha Vishnu Jangya Mandir",Complainant
against,"Senior Divisional Engineer,",Complainant
against,Senior Superintendent,Complainant
against,"Senior Superintendent of Jail, Central Jail",Complainant
against,SHO,Complainant
against,Shri Gurudey Shikshan Prasarak Mandal,Complainant
against,"Singla Enterprises, Lehra Gaga",Complainant
against,"Special Secretary, (Agriculture)",Complainant
against,"Special Secretary, Ministry of Home Affairs",Complainant
against,"Spokesman, Shri Vedant Seva Samiti",Complainant
against,"Sr. Executive Engineer (Excv.), South Eastern Coal Fields Limited",Complainant
against,Sri Sau Tipubai Ratanchand Jain (Mutha) Religious and Charitable Trust,Complainant
against,State Minister of Mines,Complainant
against,"State Project Director, Bihar Education Project Council",Complainant
against,"State Secretary, Uttar Pradesh Safai Majdor Union",Complainant
against,Sub Inspector,Complainant
against,Sub-Divisional Officer,Complainant
against,Sub-Inspector,Complainant
against,"Sub-Registrar, Periyapatna",Complainant
against,SubInspector,Complainant
against,SubInspector Vastan Vihar Station,Complainant
against,"SubInspector, Vastan Vihar Station",Complainant
against,"Supd. Engineer, Municipal Corporation of Delhi",Complainant
against,Superintendent of Police,Complainant
against,"Superintendent of Police, Ajmer (Rajasthan) against the Editor",Complainant
against,Tahsildar,Complainant
against,Tahsildar,Complainant
against,"Teacher, Shikhsha Mahavidyalya",Complainant
against,Telecom District Manager,Complainant
against,Telecommunication Department,Complainant
against,The Panipat Co-operative Sugar Mills Limited,Complainant
against,The Samaj,Complainant
against,"Trade Union Coordination Centre, Central Committee",Complainant
against,"Trustee, Dr. J.J. Magdum Trust",Complainant
against,"Trustees, Din Dayal Development and Charitable Trust",Complainant
against,"Trustees, Din Dayal Development and Charitable Trust",Complainant
against,U.P. Transportation Office,Complainant
against,U.S. Govt. of India,Complainant
against,U.S. Govt. of India,Complainant
against,U.S. Govt. of India,Complainant
against,U.S. Govt. of India,Complainant
against,U.S. Govt. of India,Complainant
against,U.S. Govt. of India,Complainant
against,U.S. Govt. of India,Complainant
against,U.S. Govt. of India,Complainant
against,U.S. to Election Commission of India,Complainant
against,U.S. to Election Commission of India,Complainant
against,U.S. to Election Commission of India,Complainant
against,U.S. to Election Commission of India,Complainant
against,U.S. to Election Commission of India,Complainant
against,U.S. to Election Commission of India,Complainant
against,U.S. to Election Commission of India,Complainant
against,U.S. to Election Commission of India,Complainant
against,U.S. to Election Commission of India,Complainant
against,U.S. to Election Commission of India,Complainant
against,U.S. to Election Commission of India,Complainant
against,U.S. to Election Commission of India,Complainant
against,U.S. to Election Commission of India,Complainant
against,U.S. to Election Commission of India,Complainant
against,U.S. to Election Commission of India,Complainant
against,U.S. to Election Commission of India,Complainant
against,U.S. to Election Commission of India,Complainant
against,U.S. to Election Commission of India,Complainant
against,U.S. to Election Commission of India,Complainant
against,U.S. to Election Commission of India,Complainant
against,U.S. to Election Commission of India,Complainant
against,U.S. to Election Commission of India,Complainant
against,U.S. to Election Commission of India,Complainant
against,U.S. to Election Commission of India,Complainant
against,U.S. to Election Commission of India,Complainant
against,U.S. to Election Commission of India,Complainant
against,U.S. to Election Commission of India,Complainant
against,"U.S. to the Govt. of India, Ministry of I & B",Complainant
against,Under Secretary,Complainant
against,Under Secretary,Complainant
against,Under Secretary,Complainant
against,Under Secretary,Complainant
against,Under Secretary,Complainant
against,Under Secretary,Complainant
against,Under Secretary,Complainant
against,Under Secretary,Complainant
against,Under Secretary,Complainant
against,Under Secretary,Complainant
against,Under Secretary,Complainant
against,Under Secretary,Complainant
against,Under Secretary,Complainant
against,Under Secretary,Complainant
against,Under Secretary,Complainant
against,Under Secretary Election Commission of India,Complainant
against,Under Secretary Ministry of Ayurveda Yoga & Naturopathy,Complainant
against,"Under Secretary,  Election Commission of India",Complainant
against,"Under Secretary, AYUSH",Complainant
against,"Under Secretary, Election Commission of India",Complainant
against,"Under Secretary, Election Commission of India",Complainant
against,"Under Secretary, Election Commission of India",Complainant
against,"Under Secretary, Ministry of Ayurveda, Yoga & Naturopathy",Complainant
against,"Under Secretary, Ministry of I&B, Govt. of India",Complainant
against,UP State Sugar Corporation Ltd,Complainant
against,Vice President (Corporate Affairs),Complainant
against,Vice President Dhanbad District Congress Committee,Complainant
against,"Vice President, Media Cell, BJP",Complainant
against,"Vice-President, (Corporate Affairs) Som Distilleries Limited",Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
against,,Complainant
